npn,existential,conditional,question
1.3345306960036396,1.2808159980049822,1.2883454730035737,1.298074000995257
1.317738976002147,1.263247164002678,1.2854038020013832,1.2910141489992384
1.3194682280009147,1.261034811999707,1.2757835000011255,1.2808428520002053
1.3380793149990495,1.2864996539938147,1.2899346129997866,1.2936086159970728
1.322246345000167,1.2764795620023506,1.2812463759983075,1.2795686079989537
1.3170197610015748,1.2653052249952452,1.2675107779941754,1.2876097169937566
1.324822253001912,1.2786236530009774,1.2773391869995976,1.2886108739985502
1.3298923280017334,1.2652200880038436,1.2804020269977627,1.2915599810003187
1.332475739000074,1.2806837340031052,1.2854783950024284,1.282194833001995
1.3225969720006105,1.267479046000517,1.2868985000022803,1.2798923030059086
1.322568723000586,1.2774001799989492,1.2801647069936735,1.2946986300012213
1.3189275519980583,1.266382687004807,1.2733875490011997,1.2737419759941986
1.3180043879983714,1.2721154660030152,1.277500231997692,1.269634953001514
1.2976465719984844,1.2603705340006854,1.2711690149953938,1.2779259809976793
1.313959918996261,1.2677985940026701,1.2693221059962525,1.2923255510031595
1.3011503469970194,1.2576662729989039,1.2753045959980227,1.2710724370044773
1.3217183929955354,1.2555810980047681,1.2942071719953674,1.2886230619988055
1.3067304099968169,1.2745794450020185,1.2745083040063037,1.2825546040039626
1.3147498440011987,1.2669436129945097,1.2921912439996959,1.278047854997567
1.3023850480021792,1.2638281370018376,1.2852302350001992,1.2920485110007576
1.3275289669982158,1.270714272002806,1.279394287004834,1.2835051709989784
1.323776163997536,1.2724921749977511,1.2957367839990184,1.3010333530037315
1.3300186929991469,1.2834975119985756,1.2762258779985132,1.311446542997146
1.3303590690047713,1.2703231319974293,1.299826338996354,1.2880093939966173
1.3233676859963452,1.2877304720022948,1.2920481670007575,1.2821266669998295
1.318406699996558,1.2747755169984885,1.276951612002449,1.2834939480017056
1.3195204900039244,1.2739135320007335,1.2724591770020197,1.2998516080042464
1.3250825760042062,1.2622122230022796,1.2730333310028072,1.2905002160041477
1.323033407999901,1.2697610749964952,1.2759288680026657,1.2845104110019747
1.322325234003074,1.2721789020069991,1.2954018719974556,1.2848183769965544
1.3286851059965556,1.2741036780062132,1.3106005279987585,1.301782087997708
1.338582978998602,1.281491488996835,1.2843847789990832,1.2757064699981129
1.3170778500061715,1.2749242920035613,1.2835373019988765,1.278112650004914
1.3161626129949582,1.2736619860006613,1.2805679509983747,1.2844970439982717
1.3334038350003539,1.2699263020040235,1.2860156870010542,1.2828039939995506
1.3337341849983204,1.2714070150032057,1.2785482089966536,1.2827458100000513
1.309198048998951,1.2668750769953476,1.285523362996173,1.2874561569988145
1.3178233279977576,1.2647431579971453,1.2813090039999224,1.2825623839962645
1.324670353998954,1.2989405230036937,1.274874472997908,1.291911447995517
1.329921660006221,1.275260308997531,1.2779628409989527,1.294971164999879
1.3239933799995924,1.268934067004011,1.2774889440042898,1.3055384919935022
1.3367355729933479,1.2891492050039233,1.2724191150045954,1.2811224699980812
1.3273430069966707,1.2648847799937357,1.2850569619986345,1.2977150110018556
1.337365564002539,1.2774686580014532,1.2861907409969717,1.277899663997232
1.3316433529980714,1.2717737480052165,1.2779648860014277,1.2950713369937148
1.3137824639998144,1.2732405079950695,1.2843580260014278,1.2766562070028158
1.332862158997159,1.2669713209979818,1.2723804869965534,1.2848094619985204
1.327771293996193,1.2651696619941504,1.2817028070057859,1.2885609320001095
1.3262471449997975,1.2584089259980829,1.293992161998176,1.2984922010000446
1.3328684349980904,1.2727988659971743,1.2802901469985954,1.2881957089994103
1.320986743994581,1.2673076190039865,1.286385731997143,1.2960903339990182
1.326751021995733,1.2741360759973759,1.2848774590020184,1.292370363000373
1.3321462530002464,1.267575265999767,1.29975120400195,1.2805437130009523
1.3332817409973359,1.2700941790026263,1.2778044819933712,1.3005645199955325
1.319564072000503,1.265872499003308,1.279859499001759,1.2778918330004672
1.3149421640046057,1.2681333880027523,1.2819596420013113,1.2899654919965542
1.3132433819992002,1.276894214002823,1.3047236560014426,1.2959826630030875
1.3285899859984056,1.2758850259997416,1.2776891579997027,1.2820963090052828
1.3360388520013657,1.2829244189997553,1.2848199930012925,1.2886810259951744
1.3057286949988338,1.2783342170005199,1.2839611489980598,1.2778503119989182
1.3070322299972759,1.275254981002945,1.285120429995004,1.2832931210068637
1.3256369779992383,1.2693267469949205,1.2849877670014394,1.2885596959968098
1.3278651470027398,1.2757594129943755,1.279137981000531,1.2878536130010616
1.3212120860043797,1.2761968310005614,1.2900483339981292,1.293016854004236
1.3077050110005075,1.2698284989965032,1.2865766120012267,1.2959192719936254
1.3389537320035743,1.3027166460014996,1.2779110619958374,1.2927862249998725
1.330789930994797,1.2612663769978099,1.2849141089973273,1.2985684430022957
1.3205936330050463,1.2624698959989473,1.2886017500059097,1.288437723997049
1.3322768770012772,1.271202745003393,1.2846554560019285,1.301744331001828
1.3349916619990836,1.2698530459965696,1.3024893129986594,1.3090571870052372
1.343047795999155,1.285626080003567,1.302804863997153,1.3000851929973578
1.3166546810025466,1.273310748001677,1.2891047820012318,1.2959930900033214
1.328184242003772,1.257749178002996,1.2946369070050423,1.2896438319949084
1.3163306249989546,1.264578222995624,1.2685447859985288,1.2960545140012982
1.3168813820011565,1.2839457399968524,1.2930356459983159,1.2823889099963708
1.3225442359980661,1.2882462720008334,1.264972028999182,1.2927935529951355
1.3131729279994033,1.2797144709984423,1.3009566890032147,1.2990481840024586
1.321467962996394,1.2886648910061922,1.2788848729978781,1.2856616890057921
1.323472693999065,1.279027770004177,1.2750981800054433,1.2834498099982738
1.3360913369979244,1.293339941999875,1.287109272001544,1.2891277129965601
1.3148404439998558,1.2749982410023222,1.2849327180010732,1.2939426320008351
1.3175522040037322,1.282211974998063,1.2920388290003757,1.2860222140006954
1.3320548539995798,1.2829683199961437,1.2951053360011429,1.289339082002698
1.3170006840009592,1.271583224995993,1.2859269420005148,1.291047073995287
1.3278436489999876,1.2650669650029158,1.2986440719978418,1.2778006759981508
1.31076368799404,1.2560508030001074,1.280046981999476,1.288830058001622
1.3116040019958746,1.2692714660006459,1.282179718997213,1.2949430610024137
1.306445583999448,1.2645331989988335,1.2850778820065898,1.2890175709981122
1.3132134429979487,1.268640335998498,1.3119963799981633,1.279669727999135
1.3140984440033208,1.2818758959983825,1.2883219470022595,1.2875732419997803
1.3279120709994459,1.272925782999664,1.284239720000187,1.2877779230038868
1.3224024519950035,1.277044686001318,1.2902450030014734,1.2895936179993441
1.328382994994172,1.2672432830004254,1.2845458079973469,1.2942495770039386
1.3307331659962074,1.2724723770006676,1.2764015799984918,1.2801657620002516
1.3240505380017566,1.2677855570000247,1.2803626090026228,1.2886678699942422
1.323936685002991,1.2720602999979747,1.3009309180051787,1.3089085610045004
1.322692597997957,1.2624987919989508,1.2833364629987045,1.291260512000008
1.3313261709990911,1.285240643999714,1.2728892310042283,1.2950340750030591
1.3204261279970524,1.2765500979949138,1.2756907059956575,1.2874641369999154
1.3204936319962144,1.285675164006534,1.278216511993378,1.293859721001354
