npn,conditional,question,existential
5.983233327991911,5.798544817997026,5.842523197003175,5.764600711991079
5.990640682008234,5.757960237999214,5.86911011999473,5.767612109993934
6.0112586979958,5.761620384000707,5.843313692006632,5.773597901992616
6.037832621994312,5.813325141003588,5.850792291006655,5.780974542998592
6.00664064999728,5.74248254399572,5.828967996989377,5.784773881998262
5.982232734997524,5.853016772001865,5.828379464990576,5.764727396002854
5.997793999005808,5.803375835996121,5.893951976002427,5.770983203998185
5.978004941003746,5.7399945560027845,5.83948496299854,5.831784360998427
5.977274748001946,5.800698232997092,5.8191167839977425,5.784908959001768
6.012143689993536,5.815838251000969,5.824937127996236,5.794434102994273
5.935125671996502,5.843818581997766,5.821362095986842,5.7848195289989235
5.966312973003369,5.816802450004616,5.824373915995238,5.758641245003673
6.0165390799957095,5.7954732490034075,5.873087337007746,5.760640073000104
5.997303126991028,5.790111131005688,5.808730232005473,5.737894502002746
6.044870293990243,5.77454491800745,5.886026587002561,5.789364141004626
6.0229195169958984,5.791392320999876,5.822172661006334,5.784685609003645
5.964040898994426,5.796462006008369,5.815539135001018,5.783380692999344
6.016437534999568,5.790927638998255,5.833685530000366,5.7897496670047985
6.011980606999714,5.791171310993377,5.837774763989728,5.769069260000833
5.94602475699503,5.757959887996549,5.831618834010442,5.769043036008952
6.04749161300424,5.800218481002958,5.8331151910097105,5.766179696001927
6.012626241004909,5.771823149989359,5.813794869012781,5.818838264996884
5.977734011990833,5.759162003989331,5.813260095004807,5.796809181993012
6.039356815992505,5.865569436005899,5.816949205996934,5.7961488780129
5.9873976329981815,5.768684455004404,5.839365392996115,5.821096294996096
5.964287831986439,5.795040811004583,5.848097306996351,5.7536226350057404
6.001987067997106,5.797218198000337,5.861644299002364,5.77281414999743
6.00482226999884,5.814251292991685,5.83221004299412,5.770253006005078
5.956742279988248,5.797175749001326,5.825396030006232,5.8202733249927405
5.991797139009577,5.79439163900679,5.805123010999523,5.740231022005901
5.977349327993579,5.764931388999685,5.806387956006802,5.799948336003581
5.979358818003675,5.861057639995124,5.841353291005362,5.745861504008644
5.987940780003555,5.783323294002912,5.817303965988685,5.770527580010821
6.0068066920066485,5.7526879259967245,5.872763285995461,5.843254498002352
5.993663019005908,5.73390288700466,5.83984557299118,5.748844111993094
5.977756863998366,5.836105089998455,5.834955143000116,5.73361585100065
5.950560379991657,5.748114360001637,5.828371519994107,5.748239119988284
5.983630606991937,5.7882812559982995,5.831328142987331,5.756745434991899
5.981885860004695,5.790883170993766,5.855793821989209,5.740180390988826
6.013582764993771,5.755564248000155,5.8484832720132545,5.762420708007994
5.991320607994567,5.788834097998915,5.7999901629955275,5.765318097008276
6.042998560005799,5.8254062210035045,5.8397562419995666,5.777087345995824
5.994401317002485,5.7612688099907245,5.85259126299934,5.77819308899052
6.008598758999142,5.795841821003705,5.866442083002767,5.734667431010166
6.027402926993091,5.762634347993298,5.836930970996036,5.760987428991939
5.967618972994387,5.73674861699692,5.807674742987729,5.7406982490065275
5.993840212991927,5.768714183010161,5.850300067992066,5.798210196997388
6.014722271007486,5.776611067994963,5.829648179002106,5.774860623001587
6.032757394001237,5.814046577987028,5.803581580010359,5.766544646001421
5.9677548939944245,5.731789318000665,5.855325936994632,5.763779359011096
5.985653985000681,5.815379758001654,5.911313371005235,5.747690082003828
6.025433913993766,5.803886986002908,5.839767910991213,5.781932630008669
5.944917182991048,5.792187236002064,5.858269627991831,5.7914279109972995
5.978884484997252,5.776679440998123,5.82613876000687,5.766517099997145
6.009996331995353,5.7940309190016706,5.807516911008861,5.725781173998257
5.960826848007855,5.796765826002229,5.8410500019963365,5.788762363008573
6.014056731000892,5.79538392800896,5.832426533990656,5.768067004988552
6.013901589001762,5.774230502007413,5.812883645994589,5.778747923992341
5.999043164993054,5.769522639995557,5.848751596000511,5.774450388998957
5.996440836999682,5.75872882999829,5.817570537998108,5.781868450998445
5.983481458009919,5.776465050003026,5.849948463001056,5.796065690999967
5.986071849009022,5.727582475999952,5.834023923001951,5.776044851008919
5.987001115005114,5.7976009150006576,5.846338146991911,5.7839558310079155
6.000430993997725,5.767648985012784,5.817146979999961,5.769235290994402
5.992438016997767,5.766725245004636,5.851136751007289,5.870295236993115
6.077297069001361,5.757842085993616,5.841364546009572,5.817811936998623
5.974879380009952,5.776673170999857,5.828819272996043,5.766944259012234
5.981821656998363,5.794390854003723,5.8367405900062295,5.754275436993339
5.985563588998048,5.758309900993481,5.876412662997609,5.741196300004958
6.021817475993885,5.820373531998484,5.8106696189934155,5.752082164995954
5.964900035993196,5.7847892210120335,5.79996177200519,5.730062620001263
6.047756386993569,5.794641587010119,5.801783606002573,5.7637718559999485
5.975475291998009,5.809502122996491,5.889986883994425,5.741075151003315
5.99234485400666,5.7918067629943835,5.849723773004371,5.755485001005582
5.979494188999524,5.780539295999915,5.817434384996886,5.764311792008812
6.032441827002913,5.787471802002983,5.85379675400327,5.740567016997375
5.979739221991622,5.761246858994127,5.802738088008482,5.776042799989227
6.012250703002792,5.805498333007563,5.8032799789943965,5.811433532013325
6.015341592996265,5.779135991993826,5.78265781000664,5.776341794000473
5.979580333994818,5.792559212000924,5.847881300986046,5.753138148997095
6.0219204439927125,5.75554162998742,5.832304176001344,5.766114494006615
6.007424802010064,5.826090538001154,5.887711771996692,5.7381972540024435
5.992933821005863,5.825628500999301,5.832238546005101,5.770644567004638
5.981219362001866,5.768039388989564,5.832396106998203,5.783187389009981
5.986879490999854,5.776366967998911,5.835039882003912,5.741655623001861
5.990175785002066,5.757722665002802,5.8534947269945405,5.761205729999347
5.990227271002368,5.821792390997871,5.8567138590005925,5.781432115007192
5.9803020670078695,5.792460180004127,5.827450212993426,5.810808932001237
6.007770738986437,5.778008661000058,5.837239084998146,5.799056657997426
6.00269068700436,5.7764904929936165,5.839382252001087,5.767462552001234
6.0212043179926695,5.853447086003143,5.817624754010467,5.7603965919988696
5.950805100001162,5.785600457995315,5.855553749992396,5.75719019099779
5.996070326989866,5.781038029992487,5.847982980994857,5.789787080997485
5.982872234002571,5.817546973994467,5.819745154993143,5.756737686009728
6.053705167985754,5.75669927499257,5.831595006995485,5.763555875993916
5.972889201002545,5.76308758900268,5.845280157998786,5.7720481930009555
6.012940590997459,5.758557912995457,5.753410500998143,5.723166930009029
