existential,npn,conditional,question
67.25732379300462,67.89003631199739,70.66712754499895,67.44609001099889
67.9995741820021,67.97750724899379,70.70956285599823,66.82017701800214
67.58464254299906,68.15969575700001,71.32956677499897,67.95310718700057
67.48359496700141,67.86502900499909,70.81957968900679,67.4971369920022
67.57223099999828,67.60433517800266,70.67655518900574,67.55825324100442
68.1944812379952,68.43947623599524,71.4875827309952,68.3189146500008
68.33145412599697,68.5005414049956,71.4680742950004,67.73282880600163
67.35601454300195,67.59690521599987,70.84082599900285,67.06546762299695
67.26639639899804,67.59331513499637,70.40595891299745,67.02476931599813
67.38104441399628,67.46439910099434,70.49051108200365,67.90588866599865
67.82762171200011,68.2294377030048,71.1227389429987,68.50927856899943
67.50011921899568,76.57895512999676,71.59772231899842,67.9879337980019
68.05005549299676,68.36278118699556,71.46319919600501,67.05139593800413
67.2301689839951,68.01987821100192,71.36107078799978,67.59930929999973
67.47895908600185,67.69291659499868,70.29878235799697,67.37297557500278
67.97393306299637,67.52133806399797,70.8900036499981,67.32157363199804
67.23612307199801,67.80998791800084,70.79671986699395,67.10077988600096
66.84532124399993,68.13079588099936,70.35566597100114,67.02382378000038
68.05188854500011,67.7372671560006,71.50008794300084,67.26486525400105
67.57492003200605,67.49784623199957,70.77849988800153,67.3668290200003
67.15082587699726,67.55141137800092,70.82808826900146,67.20755679199647
67.76414475199999,67.76148805699631,70.7617048050015,67.42607966499781
67.29259886100044,67.97499067999888,70.5746577309983,67.24401581699931
67.5513507259966,67.92359504599881,71.11072884999885,67.18135495799652
67.264493460003,68.44721089400264,70.89098532299977,67.32749603300181
67.51964535500156,68.23544240299816,70.88650549600425,67.26095531299507
67.72717356900102,68.21555011100281,70.8171802709985,67.91465106200485
67.479801442998,67.89454403600394,70.62049309500435,66.88830900700123
66.79914324799756,68.49315816300077,70.69302471000265,68.20245227900159
67.57120701099484,68.47907356500218,70.6347198709991,66.88780708400009
67.14819746399735,68.13983274900238,70.9356699869968,67.37432571400132
67.60379678000027,68.13808289099688,70.52410235499701,67.29526137599896
