existential,question,conditional,npn
2.409244658992975,2.4302562040102202,2.419742355996277,2.450407043012092
2.4292679089994635,2.4436888650088804,2.451723784994101,2.4219482320040697
2.400034965001396,2.4692210420034826,2.435464043999673,2.3985903480061097
2.3882348040060606,2.4526355630077887,2.443957887997385,2.434840866000741
2.4146073890005937,2.4903348209918477,2.4393335189961363,2.4198173610056983
2.400422107995837,2.4211983080022037,2.4357839209988015,2.422526435999316
2.4265390270011267,2.455484678997891,2.440948578005191,2.4090820380079094
2.412991161007085,2.421868336998159,2.4273777909984346,2.4425945639959536
2.402692930001649,2.4337122650031233,2.43305426799634,2.4234703309921315
2.4129943619918777,2.4344217800098704,2.40413170598913,2.413058533988078
2.390575252007693,2.432810796002741,2.4323727550072363,2.438817910006037
2.4003447300055996,2.455625369999325,2.452415210005711,2.444166152999969
2.4238210920011625,2.44548234299873,2.4116997020028066,2.4591770400002133
2.4061953220079886,2.41872514699935,2.4577775040088454,2.3962085989915067
2.414090178994229,2.470497226007865,2.419661168998573,2.429067274002591
2.411459344002651,2.4337245150090894,2.430757939000614,2.420400666000205
2.397461629996542,2.441777088009985,2.4314214430050924,2.4116959609964397
2.415478618000634,2.4429391589947045,2.469651007995708,2.4332129410031484
2.420100352988811,2.4627770299994154,2.416241308004828,2.4134780829917872
2.429341191003914,2.446373921993654,2.437721608002903,2.430206854987773
2.4060579109936953,2.4348055020091124,2.41575130399724,2.4280322980048368
2.4217095019994304,2.4490160060086055,2.4275652869982878,2.40306191999116
2.403725491007208,2.4336306399927707,2.4354338639968773,2.4095204600016586
2.4110047300055157,2.44107176498801,2.4482670720026363,2.432493265994708
2.3992086259968346,2.4328669890091987,2.438621200999478,2.434074167002109
2.42342626399477,2.4449601040105335,2.4184376250050263,2.4367904880054994
2.4211996289959643,2.466208279001876,2.4226224969897885,2.4309641079889843
2.410950215999037,2.4373612810013583,2.4202796689933166,2.4207185550039867
2.424357626005076,2.4402756519994,2.4279633639962412,2.420576525008073
2.4078693329938687,2.4450449029973242,2.430175800996949,2.4109982439986197
2.4352408819977427,2.4675612800056115,2.4266077450010926,2.4206815540092066
2.3925450530077796,2.4296332320082,2.429437742001028,2.4215994020050857
2.4098129979975056,2.463424693996785,2.440571471990552,2.427125663991319
2.417558023997117,2.429095439001685,2.4389130539930193,2.428398702002596
2.3935323640034767,2.4326073349948274,2.42953934900288,2.438314844999695
2.4268861189921154,2.435042187993531,2.440790923006716,2.4175565339974128
2.408909052988747,2.432359569997061,2.4203862069989555,2.430179652001243
2.403478759006248,2.4539283190097194,2.455725309002446,2.434403872000985
2.4013096890121233,2.4448393670027144,2.410684051006683,2.4417231700062985
2.3991579249995993,2.4167324599984568,2.4397120009962237,2.4109063000069
2.403515473997686,2.4379816349974135,2.3966731120017357,2.439834492004593
2.4337211310048588,2.454381417002878,2.419694141004584,2.4292066570051247
2.42178157500166,2.456590961999609,2.428126514001633,2.4101905319985235
2.422134943990386,2.439461707996088,2.428815619001398,2.4243180160119664
2.4058175289974315,2.429415643986431,2.4178702019999037,2.43993323900213
2.3838937190012075,2.4325162890017964,2.4181818749930244,2.4114770029991632
2.407795171995531,2.4474123879917897,2.443228841002565,2.425545953999972
