question,existential,conditional,npn
8.411408442989341,8.482687598996563,8.443598263998865,8.560451091005234
8.528242390006199,8.404884909003158,8.490558859004523,8.529782028999762
8.49732248300279,8.472725002007792,8.449789960999624,8.518980105989613
8.536389742002939,8.448525193001842,8.454882184989401,8.553502040012972
8.523983463004697,8.54192645799776,8.475934429996414,8.556899372997577
8.463285503996303,8.510907418996794,8.479979418989387,8.548709839000367
8.416198441002052,8.450166151000303,8.519611675001215,8.547130481005297
8.520087170996703,8.465011633990798,8.506106180997449,8.571794127012254
8.422707974998048,8.486180906998925,8.435485915004392,8.512148565001553
8.438077190003241,8.515926480002236,8.471625263002352,8.52673450000293
8.421984178989078,8.474188414998935,8.480473641000572,8.612945822998881
8.442390948999673,8.455107936999411,8.493809436011361,8.500560626998777
8.454029964006622,8.508152968002832,8.467090376987471,8.578346839989536
8.401904804006335,8.538834734994452,8.49051252900972,8.581804084999021
8.4612444749946,8.43828124999709,8.495965522000915,8.656867743004113
8.468400156998541,8.445686221006326,8.570138886992936,8.491682214007596
8.468255660001887,8.560124245996121,8.466650252012187,8.57929110400437
8.436172440997325,8.47821662700153,8.492499608997605,8.481085791005171
8.418058185998234,8.48670006300381,8.459384103000048,8.56500693000271
8.4240367780003,8.481359807003173,8.461729307993664,8.524035305992584
8.46233307699731,8.42231433899724,8.455659842002206,8.510126036999281
8.469806481996784,8.491029655007878,8.509725281997817,8.54645717299718
8.424260223997408,8.464942809994682,8.510539782990236,8.583536706995801
8.406146815992543,8.492962749005528,8.500905089997104,8.550871779007139
8.404064526010188,8.457099573002779,8.539856524992501,8.53080903699447
8.553714545007097,8.428288346010959,8.59654928999953,8.560216298996238
8.483451473992318,8.467276454000967,8.516282436001347,8.54549976400449
8.480557299000793,8.521530934012844,8.491103331005434,8.5703487819992
8.537843355996301,8.4291733919963,8.495201958008693,8.50547240600281
8.437095514993416,8.477911410998786,8.504150033986662,8.511981000003289
8.48800478198973,8.475094891007757,8.525035236001713,8.51396676999866
8.448985718001495,8.442266466998262,8.508662031003041,8.571167852001963
8.479303166997852,8.462898904006579,8.4496675219998,8.527538295995328
8.402128351997817,8.48794593400089,8.484403164999094,8.608741488002124
8.443690528001753,8.493177540003671,8.385106657005963,8.42797724698903
8.413240017995122,8.361875269998563,8.41221940399555,8.498007148009492
8.377997105999384,8.389353610997205,8.531005910001113,8.467097613000078
8.547523942004773,8.506210295003257,8.493973518998246,8.59316749399295
8.518089762001182,8.536722541000927,8.447634579992155,8.468359086007695
8.51897543699306,8.453584725008113,8.465612266008975,8.523356420992059
8.45171012400533,8.53219609799271,8.50919411900395,8.572970887995325
8.477469187011593,8.45589998998912,8.462472200990305,8.57845832601015
8.564222739005345,8.478943654001341,8.474806637997972,8.591477461988688
8.46552595999674,8.490752887999406,8.514368585005286,8.528856460005045
8.415997125004651,8.459726681991015,8.51671522000106,8.597783869990963
