npn,existential,question,conditional
0.0657271549998768,0.01661043200056156,0.024339433000022836,0.027126796000629838
0.03816823499983002,0.01092425499973615,0.01426456799981679,0.014084238000577898
0.03490660800071055,0.010340738999730092,0.018639892999999574,0.017364461999932246
0.04398978699919098,0.009764983000422944,0.015387743999781378,0.015134281999962695
0.04088787000000593,0.011565308999706758,0.017159398999865516,0.01895457400041778
0.04665327000020625,0.01095931199961342,0.015205327000330726,0.015496777999942424
0.03282976500031509,0.009853585000200837,0.013837698999850545,0.014358050999362604
0.03555010299987771,0.009468199999901117,0.014974808000260964,0.017729754999891156
0.043284979999953066,0.010587059000499721,0.016247534999820346,0.014474472000074456
0.033638320000136446,0.009379664000334742,0.016435425000054238,0.013326125000276079
0.03520182099964586,0.011212266999791609,0.014602100999582035,0.012487734999922395
0.03480913800012786,0.009166282000478532,0.014605096000195772,0.013806363000185229
0.03311593000034918,0.00832406599965907,0.01077122600054281,0.01602548899973044
0.03359933699994144,0.009500267000476015,0.011742483000489301,0.015852699999413744
0.037697867000133556,0.010254819000692805,0.013320615999873553,0.014698144999783835
0.03355679099968256,0.009297124999648076,0.01252009600011661,0.01383294199968077
0.03320048899968242,0.010545512000135204,0.015319571999498294,0.016232590000072378
0.04651773599925946,0.009340240999335947,0.02726072400037083,0.014665572000012617
0.03481805799947324,0.009366777999275655,0.014180488999954832,0.013620828000057372
0.034657886000786675,0.009543899999698624,0.014463674000580795,0.01440728899979149
0.031703233000371256,0.010177927999393432,0.012095080000108283,0.014260395999372122
0.03464819799955876,0.01000967900017713,0.014783557000555447,0.01810159999968164
0.03787016499973106,0.010168074999455712,0.01151048300016555,0.015382507000140322
0.03209698499995284,0.009202434999679099,0.012837739000133297,0.0160966900002677
0.03603170299993508,0.009764880000147969,0.015584105999550957,0.013638237999657576
0.03362531199945806,0.009376402999805578,0.015514890999838826,0.016021603999433864
0.032147173000339535,0.00960642799964262,0.010636360000717104,0.015546319999884872
0.03674023100029444,0.009760189999724389,0.015142987000217545,0.016120119000333943
0.03199920400038536,0.008280535999801941,0.010458072999426804,0.010632323000208999
0.03182762600044953,0.009600520000276447,0.014123523000307614,0.016071315999397484
0.03318314799980726,0.010549516000537551,0.015213231999950949,0.01392937200034794
0.038132618000418006,0.009569069999997737,0.013354067999898689,0.011612170999796945
0.035689413999534736,0.009446605000448471,0.01478833900000609,0.013714876999983971
0.03213077100008377,0.008805607999420317,0.011105405999842333,0.016333652000867005
0.03404661400054465,0.009513537000202632,0.012744773000122223,0.01236026500009757
0.033557398000084504,0.010287987000083376,0.01312954799959698,0.019617272999312263
0.03283361800004059,0.008862865999617497,0.013111096000102407,0.013252083000224957
0.038029837000067346,0.008169706999979098,0.014803045000007842,0.017571991000295384
0.03662937900026009,0.009883650999654492,0.013990923000164912,0.017640543000197795
0.03835562399945047,0.010088551999615447,0.014254878000429017,0.012729142000353022
0.0338751939998474,0.009311153999988164,0.014499535000140895,0.014590257999770984
0.03639400600059162,0.010763135000161128,0.013871747999473882,0.015485173999877588
0.035806264999337145,0.008483773999614641,0.013747996999882162,0.015335990000494348
0.036163247999866144,0.008677005000208737,0.014269657000113511,0.014151454000057129
0.033828169999651436,0.010030759000073886,0.013994277000165312,0.015622513000380422
0.03265488200031541,0.009535569000036048,0.014753462999578915,0.016119179999805056
0.03749368699936895,0.009483036999881733,0.011745630000405072,0.013134173000253213
0.03320382600031735,0.00911091000034503,0.013433773000542715,0.01617731599981198
0.033294000999376294,0.00959180399968318,0.015013011000519327,0.015456214000550972
0.03364189500007342,0.007895898000242596,0.012659226000323542,0.013095661999614094
0.03162039699964225,0.009290796999266604,0.014368748999913805,0.014341971000249032
0.037364381999395846,0.008728556999813009,0.013460258000122849,0.01417359100014437
0.032651911999892036,0.009387670999785769,0.014318529999400198,0.014529215000038675
0.03147202399941307,0.010972594999657304,0.01071545899958437,0.013135241999407299
0.03204304199971375,0.00801477899949532,0.009869114999673911,0.012744962000397209
0.032176968000385386,0.008744504000787856,0.01358987999992678,0.01148082700001396
0.03469533699990279,0.009096767000301043,0.013716704999751528,0.015732210000351188
0.031655390999731026,0.008519351999893843,0.009802868999940983,0.011387571999875945
0.030700737000188383,0.008790860000772227,0.013309616999322316,0.013971809999929974
0.03097128200079169,0.008076521000475623,0.012432864000402333,0.013428328999907535
0.03571983199981332,0.00867292900056782,0.015311367999856884,0.01550375199985865
0.03644372500002646,0.008477549000417639,0.013604837999992014,0.015036979999422329
0.03136558200003492,0.008861752000484557,0.012813420000384212,0.014956222000364505
0.03132728099990345,0.00788185799956409,0.011468931000308658,0.013841055999364471
0.03146063999975013,0.008588987000621273,0.01349309000033827,0.014513811999677273
0.03138514999955078,0.008688402000188944,0.009691491999546997,0.010920959000031871
0.03259682099997008,0.0074182079997626715,0.013400308000200312,0.01356398900043132
0.031355363999864494,0.008539146000657638,0.013568817000304989,0.014655063999271079
0.03360538000015367,0.0092055060003986,0.01152755199927924,0.01186730399967928
0.031271642000319844,0.008522330999767291,0.011423816999922565,0.01270596199992724
0.033360686999913014,0.008200579999538604,0.010012288999860175,0.012785349999830942
0.03281373100071505,0.009357439000268641,0.013624462000734638,0.012524448000476696
0.03124845699949219,0.009068499000022712,0.012674294000134978,0.015054770000460849
0.031128433000048972,0.008269451000160188,0.013144979000571766,0.01180405100058124
0.03138410300016403,0.008518382999682217,0.012654719000238401,0.01598543499949301
0.031303949000175635,0.007764400000269234,0.009785543999896618,0.012894079000034253
0.033524799000588246,0.009486140999797499,0.013300589000209584,0.0147308260002319
0.03180250799960049,0.009126830999775848,0.01351048800006538,0.012314057000367029
0.03302171399991494,0.008492724000461749,0.009624514000279305,0.011915598000086902
0.03195628299999953,0.008411388999775227,0.010650465999788139,0.013426144999357348
0.03650537100020301,0.009268296999835002,0.013881123999453848,0.014423145999899134
0.03145310800027801,0.008386497999708808,0.013286707000588649,0.01684881100027269
0.03175527900020825,0.008370160000595206,0.014003905999743438,0.013615523000225949
0.03738609500032908,0.009321909000391315,0.013654053000209387,0.013863354999557487
0.03349081399937859,0.008475466000163578,0.014149561000522226,0.01678188699952443
