existential,npn,question,conditional
0.03286022300000013,0.04606460200000129,0.031746057000006545,0.03716885100000411
0.022322763000005352,0.04321733099999392,0.029133149999992725,0.0355260830000077
0.027254061999997248,0.04225655200001199,0.029984533999993346,0.03316855500000315
0.021525901000003955,0.0438490860000087,0.031138773999998648,0.034778072999998244
0.0213291259999977,0.04630493400000546,0.03279464599999926,0.03644270899999924
0.026762279999999805,0.040792676000009465,0.030183520000008457,0.03428195300000425
0.027653322000006142,0.043867275000010864,0.02865915399999608,0.03503000799999256
0.02986579299999903,0.04173115499999369,0.02838897599998802,0.03317938600000048
0.027857026000006613,0.040757444999997006,0.02989382900000237,0.032234181000006856
0.019395220999996354,0.04613678299999435,0.0324630700000057,0.035366918999997665
0.021591443000005484,0.04108235000001059,0.031463348999992036,0.034604078999990406
0.025275213000000463,0.0406037380000015,0.030672344999999268,0.032398202999999626
0.019620653999993465,0.040043045999993865,0.030324509999999805,0.03192846999999688
0.023654507000003377,0.04373780699999941,0.03174543500000482,0.034628949999998326
0.020020310999996127,0.04279574299999922,0.03077999500000317,0.03322923900000774
0.02096087300000704,0.04454802499999744,0.03056251600000337,0.032624437999999145
0.02074897299999634,0.04081501999999659,0.028720862000000125,0.030199677000013025
0.01915691700000366,0.03973107299999867,0.029662497000003896,0.03285841100000653
0.020193828000003577,0.04076234699999759,0.029514415000008398,0.03303213300000607
0.022610259999993332,0.04112856399999032,0.028645179000008625,0.03417019299999424
0.019862854999999513,0.040801003999987984,0.028931454000002077,0.03201343499999609
0.020809412000005523,0.04316436300000248,0.028439720000008606,0.0355161310000085
0.02156596199999683,0.04312348000000554,0.028698394000002736,0.03358812999999827
0.02143614000000582,0.04083311300000503,0.030670912000005046,0.032349854999992544
0.020091163000003576,0.041670345,0.030053379999998242,0.0330518909999995
0.019325605000005908,0.040711666000007085,0.031935445000002005,0.034056198000001814
0.020853789000000234,0.04362037799999996,0.0320123210000105,0.03249619300000006
0.019211562999998932,0.04201104999999927,0.02739636500000131,0.03224953699999844
0.01953585300000782,0.04188757100000373,0.02890508800000191,0.03252835600000026
0.019332954999995877,0.04112335499999631,0.028455962999998974,0.03204038200000525
0.019597650999997995,0.04131210500000293,0.030616108000003806,0.03833119099999749
0.020590718000008223,0.04272446299999899,0.028616786000000616,0.03130880100000866
0.019521228999991536,0.0445568709999975,0.02833570399999985,0.03220249499999284
