question,conditional,existential,npn
0.02975165099996957,0.03202488599981734,0.027099283000097785,0.0938091660000282
0.0225544169998102,0.032054514000265044,0.021057697999822267,0.09183292899979278
0.01942659799988178,0.03131576900068467,0.016843720999531797,0.10102863099928072
0.028049724999618775,0.02929910300008487,0.017814230999647407,0.0882614560005095
0.023108305999812728,0.026139645000512246,0.017261234000216064,0.10367734100054804
0.01922101099989959,0.02637478100041335,0.01765896899996733,0.08893689300020924
0.02599159200053691,0.024945340000158467,0.019792516000052274,0.08779957100068714
0.021536405000006198,0.026818812999408692,0.017065222000383073,0.09023980599977222
0.021812513999975636,0.02994197800035181,0.01861905999976443,0.0873292139995101
0.02015498800028581,0.03179926200027694,0.018799118000060844,0.09262939099971845
0.02021528000022954,0.024454768000396143,0.017833232999691973,0.09050078200016287
0.02324445599970204,0.02955450799981918,0.017483658999481122,0.09075565399962215
0.022064632999899914,0.026529620000474097,0.016077915000096255,0.08705241200004821
0.01785071899939794,0.024444600000606442,0.016757579000113765,0.09097712800030422
0.019073012999797356,0.0314539290002358,0.019509153000399237,0.0936494079996919
0.022512669000207097,0.02722544799962634,0.018497461000151816,0.09260245799941913
0.019295009999950707,0.033580225000150676,0.019041341999582073,0.08909340699938184
0.01861197699963668,0.026355861999945773,0.015869318999648385,0.08977881600003457
0.019687610000801214,0.02361542099970393,0.016437708000012208,0.08827003300029901
0.023278623000805965,0.027805962999991607,0.016399379999711527,0.09104825800022809
0.0189346850002039,0.030240867000429716,0.01678856899980019,0.08743573900028423
0.019400750999921,0.02632867800002714,0.020386051000059524,0.09036259499953303
0.01883352200002264,0.030988798000180395,0.015536144999714452,0.08669323899994197
0.017941293999683694,0.023432596999555244,0.019191694999790343,0.0891301999999996
0.022750515000552696,0.026784308000060264,0.014632884000093327,0.08705824599928746
0.021611417000713118,0.025599145999876782,0.016133941000589402,0.08858137100014574
0.022584297999856062,0.027177095000297413,0.018672836999940046,0.08668600200053334
0.021600492999823473,0.02577763600038452,0.019799018000412616,0.09070023899948865
0.019682500999806507,0.02686729800007015,0.016163047999725677,0.08659375100069155
0.021895380000387377,0.025656779000200913,0.017134812999756832,0.08913702800055034
0.01869689900013327,0.02624152899988985,0.017307230999904277,0.0880962900000668
0.023461520000637393,0.026972054999532702,0.018474491000233684,0.08874869999999646
0.017992719000176294,0.0310645059998933,0.03436439500001143,0.09464024499993684
0.022279582000010123,0.024669475999871793,0.01859027899990906,0.0864777779997894
0.018197778000285325,0.023667135999858147,0.01897427600033552,0.08670990700011316
0.01903240800038475,0.024084491999929014,0.018996779000190145,0.09070797599997604
0.018066214000100445,0.025118884000221442,0.01498151199939457,0.08730091200050083
0.01949203399999533,0.02570713600016461,0.01869661000000633,0.09777716499957023
0.018397458999970695,0.02520302300035837,0.020765381999808596,0.08932558200012863
0.017756604999703995,0.026982764999957,0.017818686999817146,0.08805402300004062
0.021472892000019783,0.027562117999877955,0.019418689999838534,0.09498934899966116
0.019078651999734575,0.027045140000154788,0.019177622000825068,0.08632905099966592
0.022783880999668327,0.026380404000519775,0.016690092000317236,0.08962534799957211
0.018432781999763392,0.02283912999973836,0.013686866000170994,0.08602393199998914
0.019237162000536046,0.023642952999580302,0.01769684899954882,0.08820530399952986
0.0183584559999872,0.025015410000378324,0.017482099000517337,0.08738112099945283
0.019429789000241726,0.027107762999548868,0.015464504000192392,0.08818376800081751
0.019187470999895595,0.02647183099998074,0.016755282999838528,0.0879297259998566
0.018953433000206132,0.023181710000244493,0.015872848999606504,0.09001401200021064
0.021249358999739343,0.02564973900007317,0.01657194199924561,0.08688556200013409
0.021281008000187285,0.02710221199959051,0.024185136000596685,0.08857414799967955
0.023876897000263853,0.02587770699938119,0.01693280000017694,0.08755970900074317
0.01892031599982147,0.02408806800031016,0.01610313800028962,0.08895037599995703
0.020864039000116463,0.02744782900026621,0.01489423800012446,0.08865436599990062
0.021118409000337124,0.02591303400004108,0.01581924499987508,0.09104019799997332
0.026583543999549875,0.023873536000792228,0.01598740600002202,0.09121857500031183
0.021573454000645143,0.026345450000007986,0.019005735000064305,0.09449765799945453
0.018270950999976776,0.02514914800030965,0.0169235369994567,0.09514239300006011
0.020146447999650263,0.027792969000074663,0.01732799499950488,0.0983011059997807
0.02292193999983283,0.025977758999943035,0.016835133000313363,0.09741568400022516
0.01984312399963528,0.029289620999406907,0.017176364000079047,0.10386269700029516
