question,existential,npn,conditional
3.0963550449960167,3.0968128120002802,3.097620814005495,3.0901043550111353
3.114325511007337,3.086590848994092,3.118580144000589,3.1068841529922793
3.096512142001302,3.1004686689993832,3.1290821110014804,3.0872420399973635
3.1040881730004912,3.092722784000216,3.1168895490118302,3.1177330479986267
3.111510528004146,3.074774073000299,3.10262241899909,3.0992978680005763
3.108778447000077,3.097748487998615,3.1308333210035926,3.1140740039991215
3.105326372999116,3.1209035810024943,3.110385995998513,3.079699554000399
3.144761957009905,3.0947759599948768,3.1365586900064955,3.0898264900024515
3.097709992012824,3.0945471719896886,3.138327972003026,3.090924181000446
3.095497663001879,3.0927504830033286,3.1120674350095214,3.0833511579985498
3.089953875998617,3.1230427919945214,3.154834970002412,3.1043881660007173
3.130758870000136,3.0601624340051785,3.1496683529985603,3.092509529000381
3.095160331009538,3.1023502189927967,3.128269986002124,3.1368310029938584
3.0907840309955645,3.070643487997586,3.1238230080052745,3.1049612820061157
3.1058391270053107,3.0998362389946124,3.111209238995798,3.1172275749995606
3.0924780880013714,3.09519208301208,3.124745637003798,3.1200240129983285
3.10873619299673,3.1019161800068105,3.099368775001494,3.08565468499728
3.1004539459972875,3.0852515129954554,3.131349779010634,3.1048943570058327
3.1129709880042356,3.089734599998337,3.13500105899584,3.109077729997807
3.0947132330038585,3.1036525439994875,3.1339530190016376,3.1074637260026066
3.119032018003054,3.0891168220114196,3.1391121140040923,3.0816275630058954
3.088467338006012,3.092243007005891,3.1286312000011094,3.1229997650079895
3.0966378190059913,3.1041679750051117,3.0932994579925435,3.0875313059950713
3.102642422003555,3.114001982001355,3.1125013990094885,3.1285403789952397
3.1178031070012366,3.0843603009998333,3.0809886530041695,3.0723555449949345
3.0746723279880825,3.0954867489926983,3.092267892003292,3.066312613998889
3.0792174590023933,3.0341068650013767,3.0749345989897847,3.069000818999484
3.1247221719968366,3.051656809009728,3.088300426999922,3.106635563002783
3.088039137001033,3.095066341003985,3.144413218004047,3.1568892070063157
3.1008220160001656,3.1297963289980544,3.162159364001127,3.100703677991987
3.1194384539994644,3.1120475250063464,3.115229247006937,3.1259638589981478
3.134449916004087,3.0957060100045055,3.145009478001157,3.087373097005184
3.0931420480046654,3.07430549300625,3.138302310995641,3.1317477260017768
3.136973778004176,3.0841794950101757,3.1384066470054677,3.0955366840062197
3.089267324001412,3.098285019994364,3.102541686006589,3.1034668020001845
3.1028002079983708,3.0930269779928494,3.1218747709935997,3.1092966650030576
3.1018322320014704,3.088962145993719,3.1772447689872934,3.095900591011741
3.12029534499743,3.0861167239927454,3.1434479070012458,3.0965525729989167
3.1120338960026857,3.074218537993147,3.114883832997293,3.09257795700978
3.095731117995456,3.0979844620014774,3.1029457289987477,3.094991880003363
3.102096051996341,3.097369912007707,3.129347923997557,3.0907711500040023
3.11952461200417,3.1034449329890776,3.122369577002246,3.1128412340040086
3.091911990995868,3.081107648991747,3.1145540549914585,3.108816861989908
3.126573814995936,3.086620250993292,3.1552187859924743,3.126262048011995
3.0885982119943947,3.0918057250091806,3.1106584609951824,3.133502190990839
3.0978898600005778,3.0790450750064338,3.092065980003099,3.0942227650084533
3.115462685993407,3.073801345002721,3.1154665100038983,3.0872824149992084
3.1016754650045186,3.0987617159989895,3.1147245280008065,3.1066055209957995
3.099703275001957,3.107550390996039,3.119346202001907,3.0979943510028534
3.121300370999961,3.088756580997142,3.119028517001425,3.0899220739956945
3.1047098440030823,3.1175351870042505,3.1138245629990706,3.0995245320082176
3.1043945040000835,3.081422675997601,3.1135019909997936,3.0972012270067353
3.1000752190011553,3.094188506001956,3.112828265002463,3.1201017660059733
3.086853704007808,3.0877481089992216,3.1046812850108836,3.101253988003009
3.1208588690060424,3.070062088998384,3.1042685610009357,3.0894585189962527
3.109680652996758,3.0934756430069683,3.126641662995098,3.120348071999615
3.112231862003682,3.062431080004899,3.1210150980041362,3.0798353439895436
3.1041959919966757,3.0829034019989194,3.11785383199458,3.103828131002956
3.0867951559921494,3.0785425909998594,3.128947971999878,3.127328349990421
3.1056912889907835,3.1076936860044952,3.131976274002227,3.090046455996344
3.1054573639994487,3.076866492992849,3.1212386279948987,3.1153906480030855
3.1111873719928553,3.130548026994802,3.1261896869982593,3.091712663997896
3.0785773700044956,3.0734651730017504,3.1259684579999885,3.1425060680048773
3.1241858249995857,3.1162277100083884,3.1292151999950875,3.0923000799957663
3.1155566920060664,3.1051585120003438,3.105259459000081,3.1218814109888626
3.124463372005266,3.1128676869993797,3.1460061210091226,3.100481835004757
3.116504215999157,3.0935212089971174,3.134268363995943,3.105836308997823
3.1048647970019374,3.1027962190128164,3.0899939249939052,3.114069072995335
3.103625903997454,3.0785439510073047,3.1362316129961982,3.091928423003992
3.1022102010028902,3.077102941009798,3.1257124029943952,3.130705592004233
3.116332064004382,3.0663096960051917,3.116093649994582,3.092113323000376
3.1332239320036024,3.090147241993691,3.117436447995715,3.116907791001722
3.1201505299977725,3.0952160239976365,3.1217649929894833,3.093104317013058
3.0747922719892813,3.0664664680080023,3.081362523997086,3.106350136004039
3.1286002429988002,3.123523293994367,3.1214158649963792,3.114260750997346
3.087015691999113,3.082261182004004,3.168916252005147,3.0916813319927314
3.122744201988098,3.092522773993551,3.1078489369974704,3.1022123379952973
3.094819695004844,3.108692979993066,3.1174022409977624,3.1293020120065194
3.0919661480002105,3.0926718749979045,3.1286442109994823,3.0742993429885246
3.11500227599754,3.0794522850046633,3.1276974409993272,3.133000833011465
3.1325413679878693,3.089321752995602,3.094132685990189,3.1122582120005973
3.1299843070009956,3.0828076080069877,3.1278907999949297,3.113491833995795
3.0954594670038205,3.0922195759922033,3.101963823995902,3.12136521100183
3.128519038000377,3.098354180008755,3.1087259339983575,3.0982248849904863
3.121897959004855,3.0959187380067306,3.1073794159892714,3.120660829998087
3.0954577009979403,3.0845258829940576,3.0987665099964943,3.1252986820036313
3.1405403640092118,3.099277127010282,3.132372457999736,3.144773506995989
3.138187721007853,3.0906991090014344,3.1199990089953644,3.1187064190016827
3.1187990790058393,3.083890296999016,3.134169180993922,3.1132538649981143
3.155844592998619,3.0899279869918246,3.116292822000105,3.1069597030000295
3.1241222279932117,3.0911924430110957,3.1078498639981262,3.1118538239970803
3.105087457995978,3.081399255999713,3.1333817679987988,3.1577715840103338
3.0997356150037376,3.1029684859968256,3.1053024980064947,3.108476541994605
3.0880806089990074,3.078753740002867,3.144818746004603,3.0977874410018558
3.101102219996392,3.0918391970044468,3.1386162979906658,3.1129314490099205
3.1331393369910074,3.0937199179898016,3.169519996998133,3.1108350599970436
3.1205821799958358,3.0830094359989744,3.094362165997154,3.1086217910051346
3.110224828007631,3.0912884309946094,3.097460502991453,3.109106199000962
3.1227726560027804,3.0612161899916828,3.128944883996155,3.1135889930010308
3.141196800992475,3.085108801999013,3.1200606740021612,3.102876226999797
