conditional,question,existential,npn
0.12890229199911118,0.04262055100116413,0.08850247299778857,0.7587936250019993
0.1327921200027049,0.029659768999408698,0.08329747199968551,0.6635669839997718
0.12183837799966568,0.025397688001248753,0.05675909999990836,0.5543200560023251
0.10107341299953987,0.01973191200158908,0.06095984099738416,0.5278985449986067
0.1161871139993309,0.024403678999078693,0.06652729400229873,0.5382489830008126
0.1030448380006419,0.023063728000124684,0.05132831199807697,0.5371304350010178
0.10254714400070952,0.020533852999506053,0.07081852799819899,0.525190107000526
0.10588832099892898,0.017405712002073415,0.06226970499847084,0.5126495700023952
0.10218997999982093,0.021858055999473436,0.06313035499988473,0.5147362930001691
0.10104508600124973,0.021852545000001555,0.06269307899856358,0.5119407499987574
0.09990549400026794,0.02414862300065579,0.055272782999963965,0.5951460090000182
0.11004522599978372,0.02742397399924812,0.053207732998998836,0.5288950449976255
0.11120480499812402,0.02344287300002179,0.061388606001855806,0.5135658869985491
0.10092580800119322,0.019696143001056043,0.05087955699855229,0.49113509499875363
0.10075223400053801,0.021125004001078196,0.050872599000285845,0.5196811370005889
0.0971935659981682,0.020627510002668714,0.049358071002643555,0.49337061799815274
0.0978675629994541,0.020347823003248777,0.055381296999257756,0.48518054699889035
0.09764855199682643,0.02090138900166494,0.053925740998238325,0.4850024509978539
0.09825054900284158,0.01724275100059458,0.05734977700194577,0.48333575099968584
0.09819194399824482,0.016888551999727497,0.04502509099984309,0.4867861110033118
0.09748013999706018,0.02198821899946779,0.05099379799867165,0.47963190999871586
0.09703160999924876,0.019853924997732975,0.05094247200031532,0.4818711549996806
0.09739845399963087,0.019243894999817712,0.04512617599903024,0.48275642299995525
0.09677050200116355,0.017585007000889163,0.04911641600119765,0.5246407780032314
0.11752269600037835,0.022935089000384323,0.0575891260014032,0.5203450459994201
0.10396614999990561,0.021569012002146337,0.052501768001093296,0.4979908340028487
0.09850809600175126,0.02003998000145657,0.0448117479973007,0.49989512499814737
0.0989176659968507,0.01622490999943693,0.045674864002648974,0.4945447760001116
0.09922046700012288,0.019089000998064876,0.05458907599677332,0.5003954309977416
0.09990340199874481,0.01868184999693767,0.04716367699802504,0.4841254979983205
0.09752635800032294,0.015267454000422731,0.05178276299920981,0.501543374000903
0.10017999400224653,0.01806865699836635,0.04409710799882305,0.4828225470009784
0.12088367899923469,0.02162673199927667,0.08201947400084464,0.5233309170034772
0.09838150599898654,0.01688212199951522,0.046125728000333766,0.48549038499913877
0.09921496700189891,0.01510950399824651,0.045570836002298165,0.493158928999037
0.1020695759980299,0.02290058599828626,0.05348790499920142,0.5328329589974601
0.10140675900038332,0.02096321100179921,0.051753327999904286,0.48401576900141663
0.09843103799721575,0.017222286001924658,0.061188297000626335,0.48357641199982027
0.10053433400025824,0.0151848580026126,0.04402587299773586,0.5425448479982151
0.0991653179989953,0.020348378999187844,0.047458975001063664,0.49528439700225135
0.10643331699975533,0.022435639999457635,0.051554694000515155,0.4969794729986461
0.09806799400030286,0.015875944998697378,0.04935567700158572,0.5033380280001438
0.10243700899809483,0.02138128700244124,0.05018934799954877,0.48577971499980777
0.09672507000141195,0.01571835999857285,0.04603260899966699,0.483830962999491
0.09733652199793141,0.019831051999062765,0.05418351600019378,0.49494996599969454
0.09714174200053094,0.015957438001350965,0.04516932299884502,0.4954220789986721
0.10184541199851083,0.020181299001706066,0.04795034000198939,0.4768942339978821
0.0993757829965034,0.021142648001841735,0.04867214200203307,0.4910700190011994
0.09639592600069591,0.016525514001841657,0.049247638999077026,0.4863010920016677
0.0967252339978586,0.01663455900052213,0.045728961002168944,0.4836389379997854
0.09567551299915067,0.01587432899759733,0.052403121000679675,0.4823931110004196
0.09653283000079682,0.02112598399980925,0.04620144100044854,0.4875574229990889
0.09872667600211571,0.018504964999010554,0.050379733998852316,0.48703484399811714
0.09826139399956446,0.017346201002510497,0.05069327199817053,0.49624021500130766
0.09553358700213721,0.016141156997036887,0.050234405000082916,0.48743607900178176
0.0979378119991452,0.019343897998624016,0.047832320000452455,0.49039653499858105
0.09957302000111667,0.019072143997618696,0.04743593799867085,0.4895574549991579
0.0973357639995811,0.017079798999475315,0.04734002799887094,0.48780889000045136
0.09976376400300069,0.01946683200003463,0.0445326910012227,0.4816524389971164
0.10078298900043592,0.0166463819987257,0.07056695100254728,0.5094967779987201
0.09830336799859651,0.01944759999969392,0.047426044002349954,0.485428583000612
0.09573009700034163,0.015824188998522004,0.04454729600183782,0.48718882300090627
0.09724981099861907,0.01873049799905857,0.05415980399993714,0.4795124800002668
0.09577938499933225,0.015868579997913912,0.04243452200171305,0.48728156099969056
0.09829294399969513,0.01541302999976324,0.04705301799913286,0.4758481610006129
0.0952068219994544,0.01935922999837203,0.05026582500067889,0.4946163370004797
0.09674215599807212,0.02014591300030588,0.04967375100022764,0.5040457479990437
0.1114237959991442,0.02987181099888403,0.07366790900050546,0.6006121259997599
