question,npn,existential,conditional
0.5186034079997626,0.7800984059995244,0.23824485700060904,0.6168273120001686
0.5130684040013875,0.7209492170004523,0.20713244900071004,0.5672892780003167
0.5047092599997995,0.7198285199992824,0.20727332400019804,0.5690744050007197
0.5024692180013517,0.7211773609997181,0.20272632700107351,0.5621234289992572
0.5041118350000033,0.726829948998784,0.21733674700044503,0.5757148009997763
0.5093434570007958,0.7248970199998439,0.23032983700068144,0.6208206700011942
0.5075682970000344,0.724034405000566,0.20783218700125872,0.5708194309991086
0.4989059740000812,0.721072598000319,0.22720847499840602,0.5690746489999583
0.5006089529997553,0.7162842269990506,0.20111960799840745,0.5588752120002027
0.5178377800002636,0.7240217450016644,0.21530791400073213,0.5605494039991754
0.5149134840012266,0.7744130150003912,0.1972341390010115,0.5754853050002566
0.5190445659991383,0.7386096360005467,0.2028923029993166,0.5601706710003782
0.5049889230012923,0.7218327330010652,0.21722624100038956,0.5653884599996672
0.5036184370001138,0.7264597439989302,0.20132179699976405,0.5692217120013083
0.5113706070005719,0.7273547339991637,0.20608307699876605,0.5792298689993913
0.49751931199898536,0.7228935639996052,0.2042142549998971,0.5812823159994878
0.5077592249999725,0.7513609210000141,0.22036145700076304,0.5739869230001204
0.5043707810000342,0.735576126999149,0.2235353229989414,0.5771209209997323
0.5069113339995965,0.7427410190011869,0.19490364100056468,0.5689520729993092
0.5224600719993759,0.7476111160012806,0.2170351410004514,0.5866389279999566
0.516627465000056,0.7423530310006754,0.22725509799965948,0.5658785369996622
0.5066498670003057,0.7250233920003666,0.21692545400037488,0.5747264210003777
0.5155885559997841,0.7319194880001305,0.200105984999027,0.5691989499991905
0.5042871639998339,0.7165230070004327,0.20178055100041092,0.5645658299999923
0.5090051450006285,0.7357315179997386,0.19996058299875585,0.5676073640006507
0.512412788999427,0.7372609810008726,0.2095961659997556,0.5780450489983195
0.5089726549995248,0.7302676939998491,0.2037390419991425,0.5913723040011973
0.5369734150008298,0.7780236210001021,0.2698561020006309,0.7013891650003643
0.6974987980011065,0.776754020998851,0.21764459800033364,0.5838392780005961
0.527765183000156,0.7520219329999236,0.2204630600008386,0.5758236540004873
0.5113185530008195,0.7340607850001106,0.2368100849998882,0.5779443129995343
0.5140013670006738,0.7178550050011836,0.1994391270000051,0.5733037009995314
0.5239884800012078,0.7455911589986499,0.22698232199945778,0.5719832550003048
0.5225807920014631,0.7484279430009337,0.20788462800010166,0.5805950730009499
0.5267312470004981,0.7306253649985592,0.19331726400014304,0.5718625979989156
0.49685447400042904,0.713153164000687,0.20339690299988433,0.5534424770012265
0.4932121620004182,0.7114474399986648,0.20188614499966206,0.5625647899996693
0.4953129519999493,0.7042041330005304,0.2028411010014679,0.555520740999782
0.4973718439996446,0.7233980199998769,0.20095052499891608,0.5621729150007013
0.49579363699922396,0.7048573660013062,0.20860764799908793,0.556953125000291
0.4960992399992392,0.7105034889991657,0.19289461100015615,0.558345688999907
0.49062930599939136,0.7047676199999842,0.20208839799852285,0.5618089500003407
0.5013915910003561,0.7102730549995613,0.19433284799924877,0.5668395819993748
0.5205904849990475,0.7755494120010553,0.20823569400090491,0.6666436189989327
0.8246024309992208,1.141105762000734,0.29652114900090965,0.8351006789998792
0.5688956279991544,0.7174073130008765,0.1985469480005122,0.5696987949995673
0.5289430169996194,0.7452184819994727,0.20689740200032247,0.5722501529999136
0.5265653980004572,0.763324437000847,0.20995840499927,0.5749748189991806
0.5111577860006946,0.7238858540004003,0.21147597799972573,0.5716066800014232
0.519799059999059,0.7230350579993683,0.2113898479983618,0.5861770290011918
0.5266252209985396,0.732099577999179,0.2056934080010251,0.5658511539986648
0.5058386429991515,0.7115254769996682,0.20550158600053692,0.5557265980005468
0.49853267800062895,0.7101132440002402,0.19721148400094535,0.5648529139998573
0.49444416200094565,0.7080427319997398,0.20484768900132622,0.5616965989993332
0.5022824110001238,0.7081397820002167,0.20766325799922924,0.556382777998806
0.5008433490002062,0.7102984010016371,0.20536181699935696,0.5557340389987075
0.4953864100007195,0.7184685960000934,0.20519362000050023,0.5551834589987266
0.4980589120004879,0.7062395020002441,0.20287722499961092,0.5593843269998615
0.5009258879999834,0.7152566599997954,0.18774243599909823,0.5869399160001194
0.5088765199998306,0.7071697669998684,0.19924377600000298,0.5560006190007698
0.49330307099990023,0.7017399500000465,0.20418152499951248,0.5570397030005552
0.5024639479997859,0.7183167490002234,0.20695699800126022,0.5585493079997832
0.5010378509996372,0.709543955999834,0.20030419300019275,0.5552823210000497
0.49622454499876767,0.7092831079989992,0.19927632299913967,0.5636919280004804
0.49796805500045593,0.713937178001288,0.2003734270001587,0.5542377040001156
0.49705407800138346,0.7054935519990977,0.18871128099999623,0.5607931360009388
