existential,question,npn,conditional
0.1904619550005009,0.4353935939998337,0.5789568899999722,0.4895503159987129
0.19144108399996185,0.4558758889997989,0.5645936190012435,0.42338979299893253
0.17753658900073788,0.4207810520001658,0.5544608759992116,0.433109699999477
0.17097602600006212,0.42521087000022817,0.5586332229995605,0.43771499899958144
0.16458480800065445,0.4279342560002988,0.5627370439997321,0.4384128250003414
0.17361560499921325,0.4240688780009805,0.5591335900007834,0.4309451329991134
0.22203018199979851,0.41834398500031966,0.5609742260003259,0.43829852100134303
0.17932854699938616,0.4272721300003468,0.5612388749996171,0.4192064550006762
0.1731604039996455,0.42784664000100747,0.5649952009989647,0.4323132350000378
0.17482755200035172,0.4190533189994312,0.5578811840005073,0.43050000299990643
0.1692248239996843,0.4212942499998462,0.5611202799991588,0.42457132400159026
0.18612364399996295,0.4174103759996797,0.5602576890014461,0.43079450000004726
0.17898182700082543,0.41803764999895066,0.5582088299997849,0.42826953700023296
0.16915542800052208,0.42052525600047375,0.5644895839996025,0.4211034580002888
0.1709691340001882,0.41421148699919286,0.5643049209993478,0.42171659400082717
0.1865946170000825,0.4184453369998664,0.5510952069998893,0.4267152150005131
0.1899526640008844,0.4073327109999809,0.5619690069997887,0.42494074899877887
0.18234771999959776,0.41413692199967045,0.5520630730006815,0.42412745699948573
0.1706277819994284,0.41626979899956496,0.5599915019993205,0.42429356499997084
0.2145782549996511,0.4225178109991248,0.5604247850005777,0.4213855580001109
0.16620753499955754,0.41865286699976423,0.5582985200016992,0.4301017870002397
0.16883841199887684,0.4183957940003893,0.5607767169985891,0.4253899109990016
0.182727519000764,0.4184344790010073,0.5672651419990871,0.42904905100112956
0.2006031470009475,0.42221864800012554,0.5607475979995797,0.42738802100029716
0.17454903799989552,0.41183509299844445,0.5566197499992995,0.4380812370000058
0.17314753299979202,0.41995025200048985,0.5562794090001262,0.4243502039989835
0.17379498099944612,0.413002477000191,0.5672874509982648,0.4377280070002598
0.17762935799873958,0.41949395700066816,0.5584331209993252,0.4355596540008264
0.1733844369991857,0.4182362669998838,0.5599050269993313,0.4253320049992908
0.17062091499974485,0.4153214250000019,0.5608445089983434,0.42145728600007715
0.16671270400001958,0.4156571229996189,0.55414121099966,0.4183679259986093
0.1739543550011149,0.41958369399981166,0.5576908110015211,0.41936773099951097
0.1885455780011398,0.419424887999412,0.5673117530004674,0.4268613410004036
0.21350533500117308,0.41378990699922724,0.5663673880007991,0.41636237499915296
0.17409136600144848,0.42317074200036586,0.5681392009992123,0.4313886099989759
