existential,conditional,npn,question
0.041625469999416964,0.07296714499898371,0.3178474890009966,0.021327631002350245
0.03663855700142449,0.06759510900155874,0.32114932799959206,0.017462558000261197
0.04441100699841627,0.07025030300064827,0.4038337230012985,0.047036492000188446
0.04767857299884781,0.08254202200259897,0.3943618299999798,0.01960461300041061
0.05341433699868503,0.07852134999848204,0.3775354699973832,0.017204988998855697
0.04009797600156162,0.07507017299940344,0.33666003699909197,0.019569829000829486
0.040774296001472976,0.07003459699990344,0.33315784400110715,0.017138085000624415
0.03661158000249998,0.07078936300240457,0.35242375999951037,0.015269598003214924
0.03668848400047864,0.06908660999761196,0.32826700000077835,0.016030886003136402
0.04684101499879034,0.07134065199716133,0.3460568570008036,0.015610070000548149
0.03905813500023214,0.07322298500002944,0.32987919299921487,0.01793154400002095
0.03806231799899251,0.0703061140011414,0.3223583300023165,0.017489531001047
0.03294753299996955,0.06783234500107937,0.32038828899749205,0.014736303000972839
0.04724281000017072,0.06592824900144478,0.31936980899990886,0.017704953002976254
0.03957132499999716,0.06700110199744813,0.32111887100109016,0.014970418000302743
0.03856399099822738,0.06885863999923458,0.32995737199962605,0.016732520998630207
0.03900287899887189,0.06815027099946747,0.3257671310020669,0.018186986999353394
0.03682016400125576,0.0695880909988773,0.3236096690015984,0.01638473300045007
0.047779128999536624,0.06968792000043322,0.3229519159976917,0.013681667001947062
0.03244052600348368,0.06697080099911545,0.32037900000068475,0.0161141239987046
0.038633347998256795,0.06900642899927334,0.32359029600047506,0.013587135999841848
0.0334378959996684,0.06813904299997375,0.32519315000172355,0.019407217001571553
0.03685493300145026,0.0688263120027841,0.33004375199743663,0.01800028900106554
0.03751780899983714,0.06745429000147851,0.32728612100254395,0.015318890000344254
0.03843792000043322,0.06778820399995311,0.3220426480002061,0.015907249002339086
0.03417530600199825,0.0678678869990108,0.3233655229996657,0.019461859999864828
0.035687678999238415,0.06780581500061089,0.3132660420014872,0.017717563001497183
0.038152944998728344,0.06720591799967224,0.32475543699911213,0.013903099999879487
0.0391628529978334,0.0697021380001388,0.3176457309964462,0.013428189999103779
0.035040890998061514,0.06819221600017045,0.3155570630005968,0.01650563799921656
0.04560270699948887,0.06795938199866214,0.317568480000773,0.014119360002950998
0.03321059300287743,0.06638244699934148,0.3156198039978335,0.01318083699879935
0.03371419799805153,0.06593091399918194,0.31744139400325366,0.015000315997895086
0.034140935000323225,0.06885326200062991,0.31520682599875727,0.016437438000139082
0.037097096002980834,0.067564670000138,0.32268029099941486,0.014099727999564493
0.03226129999893601,0.07085416699919733,0.32618385200112243,0.012970335999852978
0.0387007299977995,0.06821172700074385,0.32046067099872744,0.018087252999976045
0.03455167799984338,0.06649197399747209,0.31449364999934915,0.014755105999938678
0.03240289299719734,0.06558425100229215,0.32657716600078857,0.014321610000479268
0.04017365300023812,0.0670790379990649,0.32941152499915916,0.014910027999576414
0.033466693999798736,0.06621638100114069,0.31276503200206207,0.03592138900057762
0.03336873300213483,0.06835432900334126,0.322165704001236,0.014649975000793347
0.035292726002808195,0.06600743300077738,0.3210295879980549,0.013611968999612145
0.038227486998948734,0.06561015600163955,0.31658689600226353,0.014761708996957168
0.03421007699944312,0.06638447499790345,0.31792614000005415,0.015663406000385294
0.0349191109999083,0.06816797599822166,0.31820222300302703,0.013189044999307953
0.03248923000137438,0.06685695499982103,0.3201503119998961,0.014508681997540407
0.039255993000551825,0.06802823199905106,0.31748384599995916,0.016594543001701823
0.03750120300173876,0.06970434200047748,0.32410988599804114,0.013519770000129938
0.03474666599868215,0.06726151299881167,0.32223763600268285,0.015150950999668567
0.03348782299872255,0.06663436199960415,0.3218043470005796,0.014232076999178389
0.034072004000336165,0.06713055200089002,0.31778600799952983,0.013643153000884922
0.035504710001987405,0.06891541799996048,0.3194959350003046,0.014871211998979561
0.03155573399999412,0.06560698799876263,0.31631250099962926,0.01734961299735005
0.03582139799982542,0.06711274500048603,0.32422792299985304,0.013412915999651887
0.041119374000118114,0.06683681100184913,0.3159578929989948,0.013794507998682093
0.03232495299744187,0.06656273400221835,0.32686320100037847,0.015568568000162486
0.03748317099962151,0.06568368499938515,0.32500296600119327,0.012864647000242257
0.041044509001949336,0.0653285260013945,0.32655412900203373,0.013816055998177035
0.035140369000146165,0.06864960299935774,0.3139682469991385,0.013663574001839152
0.03779912400204921,0.06852925099883578,0.31247967400122434,0.017360846999508794
0.0372514830014552,0.06493157600198174,0.3209765950014116,0.015198318997136084
0.030853407002723543,0.06659795399900759,0.31548458299948834,0.016879366001376184
0.03067969599942444,0.06578499899842427,0.3279404880013317,0.012810511998395668
0.031134737000684254,0.06490627200037125,0.31966495199958445,0.014748133002285613
0.029781804001686396,0.06642615200325963,0.3164367410026898,0.01410364399998798
0.03509839500111411,0.06794704999992973,0.3184693459988921,0.013335441999515751
0.043434158997115446,0.06531269799961592,0.312438591998216,0.012824541998270433
0.03441232699697139,0.06569948499964084,0.32125517500026035,0.01692808399820933
0.03593694899973343,0.0659098370015272,0.31785443800254143,0.013046850999671733
0.03205272799823433,0.06629702099962742,0.31724647900045966,0.013069361997622764
